GDS;GDS_R1;GDS_R2;GDS_R3;GDS_R4;GDS_R5
-0.15306122448979592;-0.1130952380952381;-0.19196428571428573;-0.13616071428571427;-0.13095238095238096;-0.20833333333333334
-0.11862244897959184;-0.07589285714285714;-0.2648809523809524;-0.07366071428571429;-0.13690476190476192;-0.1800595238095238
-0.12627551020408162;-0.11458333333333333;-0.22916666666666666;-0.15401785714285715;-0.125;-0.18154761904761904
-0.11160714285714286;-0.09375;-0.19196428571428573;-0.15178571428571427;-0.11160714285714286;-0.17261904761904762
-0.1627162075592569;-0.1031390134529148;-0.2062780269058296;-0.09641255605381166;-0.13004484304932734;-0.16890881913303438
