preprocessor;classifier;best_params;accuracy;precision;recall;f1_score
pearson;NaiveBayes;"{""classifier__var_smoothing"": 7.713306432667461e-06, ""preprocessor__pearson_drop__threshold"": 0.5093383772117307}";0.07142857142857142;0.10359187663335127;0.15876750700280112;0.04255674434823425
pearson;RandomForest;"{""classifier__max_depth"": 4, ""classifier__min_samples_split"": 10, ""classifier__n_estimators"": 150, ""preprocessor__pearson_drop__threshold"": 0.6313442306767849}";0.4375;0.08426596445029624;0.14097238895558223;0.0917232242390564
pearson;LogisticRegression;"{""classifier__C"": 0.5370091674390054, ""classifier__max_iter"": 483, ""classifier__penalty"": ""l1"", ""classifier__solver"": ""saga"", ""preprocessor__pearson_drop__threshold"": 0.5253998843615317}";0.4419642857142857;0.0637065637065637;0.14142857142857143;0.0878438331854481
pearson;SVM;"{""classifier__C"": 7.813206432667459, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf"", ""preprocessor__pearson_drop__threshold"": 0.785141705716824}";0.17633928571428573;0.1369887561616885;0.14640093246600966;0.11977419569027196
pca;NaiveBayes;"{""classifier__var_smoothing"": 1.98072864759624e-06, ""preprocessor__pca__n_components"": 7}";0.38839285714285715;0.10964754399681453;0.1350500200080032;0.1049977088992787
pca;RandomForest;"{""classifier__max_depth"": 8, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 176, ""preprocessor__pca__n_components"": 12}";0.3861607142857143;0.12395476601628617;0.1417376252826712;0.12249259178092634
pca;LogisticRegression;"{""classifier__C"": 1.0003143237981198, ""classifier__max_iter"": 208, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""saga"", ""preprocessor__pca__n_components"": 7}";0.4419642857142857;0.18971905692459964;0.14552621048419367;0.10209295876625032
pca;SVM;"{""classifier__C"": 7.374355137182333, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf"", ""preprocessor__pca__n_components"": 12}";0.17410714285714285;0.14407106696420705;0.15793954791218814;0.1251468583551762
