preprocessor;classifier;best_params;accuracy;precision;recall;f1_score
pearson;NaiveBayes;"{""classifier__var_smoothing"": 9.177841225129435e-06, ""preprocessor__pearson_drop__threshold"": 0.8215591025289608}";0.6919642857142857;0.6232656805412223;0.5991843337111878;0.5814599641953686
pearson;RandomForest;"{""classifier__max_depth"": 28, ""classifier__min_samples_split"": 6, ""classifier__n_estimators"": 77, ""preprocessor__pearson_drop__threshold"": 0.7926787318691603}";0.71875;0.67101688077497;0.6322477039868345;0.6473706209096409
pearson;LogisticRegression;"{""classifier__C"": 0.7618893363088297, ""classifier__max_iter"": 571, ""classifier__penalty"": ""l1"", ""classifier__solver"": ""saga"", ""preprocessor__pearson_drop__threshold"": 0.8674708258493}";0.7142857142857143;0.6606184513161257;0.6190501172598358;0.6334674475850947
pearson;SVM;"{""classifier__C"": 0.13948266327914452, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear"", ""preprocessor__pearson_drop__threshold"": 0.8656794327434512}";0.7008928571428571;0.6643845274091714;0.644777331222344;0.651522008024859
pca;NaiveBayes;"{""classifier__var_smoothing"": 1.98072864759624e-06, ""preprocessor__pca__n_components"": 7}";0.7321428571428571;0.683004562533548;0.6662880313775454;0.6736767208968573
pca;RandomForest;"{""classifier__max_depth"": 8, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 176, ""preprocessor__pca__n_components"": 12}";0.7142857142857143;0.67554012345679;0.627653803996515;0.6461814340889669
pca;LogisticRegression;"{""classifier__C"": 1.3280142301447617, ""classifier__max_iter"": 702, ""classifier__penalty"": ""l1"", ""classifier__solver"": ""saga"", ""preprocessor__pca__n_components"": 10}";0.7120535714285714;0.6594146726232974;0.6192871351439125;0.6337482962289869
pca;SVM;"{""classifier__C"": 6.953598183677972, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear"", ""preprocessor__pca__n_components"": 14}";0.6964285714285714;0.6464799665793172;0.645264482604636;0.6453464052287582
