strategy_id,strategy_name,experiment_name,variant,changed_component,status,gender_accuracy,gender_precision,gender_recall,gender_f1,age_mae,age_rmse,age_r2,samples,trainable_parameters,training_seconds,checkpoint,message,age_mae_0_12,age_mae_13_19,age_mae_20_39,age_mae_40_59,age_mae_60_plus,age_support_0_12,age_support_13_19,age_support_20_39,age_support_40_59,age_support_60_plus,test_samples,train_samples,validation_samples
E5,ResNet18 fine-tuning,resnet_finetuning_base,base,layer4 descongelado,COMPLETADO,0.9193140286758504,0.9201401472091675,0.9193140268325806,0.9193810224533081,6.45684289932251,9.102465629577637,0.7822555899620056,3557,8395267,0.0,/home/alumnos/pregrado/nabil.haddad/DeepLearning/Deep_Learning/Lab_03/artifacts/checkpoints/resnet_finetuning_base/best_model.pt,,4.516821384429932,7.034506797790527,4.863367080688477,9.345712661743164,11.521370887756348,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_unfreeze_more,ablacion,layer3+layer4 descongelados,COMPLETADO,0.9221253865617093,0.9234782457351685,0.9221254587173462,0.9221983551979065,6.402913570404053,9.125909805297852,0.7811325192451477,3557,10494979,0.0,/home/alumnos/pregrado/nabil.haddad/DeepLearning/Deep_Learning/Lab_03/artifacts/checkpoints/resnet_finetuning_unfreeze_more/best_model.pt,,4.146355628967285,7.133168697357178,4.5250020027160645,9.873260498046875,12.19440746307373,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_lr_low,ablacion,learning rate 1e-4,COMPLETADO,0.9131290413269609,0.9138786792755127,0.9131290912628174,0.9131988286972046,7.29065465927124,9.857918739318848,0.7446126937866211,3557,8395267,0.0,/home/alumnos/pregrado/nabil.haddad/DeepLearning/Deep_Learning/Lab_03/artifacts/checkpoints/resnet_finetuning_lr_low/best_model.pt,,6.71372652053833,8.110371589660645,5.2842698097229,8.641070365905762,14.996355056762695,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.9184706213100928,0.9186207056045532,0.9184706211090088,0.9183911085128784,5.602696895599365,8.064990043640137,0.829062819480896,3557,8395267,0.0,/home/alumnos/pregrado/nabil.haddad/DeepLearning/Deep_Learning/Lab_03/artifacts/checkpoints/resnet_finetuning_lambda_high/best_model.pt,,3.159402370452881,5.618799209594727,4.71558141708374,7.492063045501709,9.930258750915527,509,197,1827,644,380,3557,16593,3555
